memory_mb	runtime_s	data	sample	n_obs	BC_number	evaluation_criterion	cluster_number	consensus_method	path
263.12	16.1896	.STARmap_plus_consensus	spinalcord	5849	6	Cross_method_ARI	7	lca	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_6/Cross_method_ARI/cluster_7/benchmark_consensus_lca.txt
169.16	5.3361	.STARmap_plus_consensus	spinalcord	5849	6	Cross_method_ARI	7	kmode	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_6/Cross_method_ARI/cluster_7/benchmark_consensus_kmode.txt
304.03	7.0093	.STARmap_plus_consensus	spinalcord	5849	8	Cross_method_ARI	7	lca	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_8/Cross_method_ARI/cluster_7/benchmark_consensus_lca.txt
176.42	6.2253	.STARmap_plus_consensus	spinalcord	5849	8	Cross_method_ARI	7	kmode	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_8/Cross_method_ARI/cluster_7/benchmark_consensus_kmode.txt
326.25	26.4494	.STARmap_plus_consensus	spinalcord	5849	10	Cross_method_ARI	7	lca	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_10/Cross_method_ARI/cluster_7/benchmark_consensus_lca.txt
176.0	6.6255	.STARmap_plus_consensus	spinalcord	5849	10	Cross_method_ARI	7	kmode	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_10/Cross_method_ARI/cluster_7/benchmark_consensus_kmode.txt
312.45	16.9682	.STARmap_plus_consensus	spinalcord	5849	12	Cross_method_ARI	7	lca	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_12/Cross_method_ARI/cluster_7/benchmark_consensus_lca.txt
175.68	6.8751	.STARmap_plus_consensus	spinalcord	5849	12	Cross_method_ARI	7	kmode	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_12/Cross_method_ARI/cluster_7/benchmark_consensus_kmode.txt
219.48	12.174	.STARmap_plus_consensus	spinalcord	5849	4	Cross_method_ARI	7	lca	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_4/Cross_method_ARI/cluster_7/benchmark_consensus_lca.txt
169.15	4.3185	.STARmap_plus_consensus	spinalcord	5849	4	Cross_method_ARI	7	kmode	../data/.STARmap_plus_consensus/spinalcord/consensus/BC_4/Cross_method_ARI/cluster_7/benchmark_consensus_kmode.txt
497.14	76.4825	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	6	Cross_method_ARI	6	lca	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_6/Cross_method_ARI/cluster_6/benchmark_consensus_lca.txt
284.25	29.2146	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	6	Cross_method_ARI	6	kmode	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_6/Cross_method_ARI/cluster_6/benchmark_consensus_kmode.txt
493.58	70.5901	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	8	Cross_method_ARI	6	lca	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_8/Cross_method_ARI/cluster_6/benchmark_consensus_lca.txt
289.37	34.7269	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	8	Cross_method_ARI	6	kmode	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_8/Cross_method_ARI/cluster_6/benchmark_consensus_kmode.txt
886.04	32.8339	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	10	Cross_method_ARI	6	lca	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_10/Cross_method_ARI/cluster_6/benchmark_consensus_lca.txt
309.68	38.7737	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	10	Cross_method_ARI	6	kmode	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_10/Cross_method_ARI/cluster_6/benchmark_consensus_kmode.txt
695.93	95.0986	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	12	Cross_method_ARI	6	lca	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_12/Cross_method_ARI/cluster_6/benchmark_consensus_lca.txt
295.56	46.0965	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	12	Cross_method_ARI	6	kmode	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_12/Cross_method_ARI/cluster_6/benchmark_consensus_kmode.txt
373.7	36.6824	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	4	Cross_method_ARI	6	lca	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_4/Cross_method_ARI/cluster_6/benchmark_consensus_lca.txt
266.75	20.5393	visium_hd_cancer_colon_crop	visium_hd_cancer_colon_square_016um	50387	4	Cross_method_ARI	6	kmode	../data/visium_hd_cancer_colon_crop/visium_hd_cancer_colon_square_016um/consensus/BC_4/Cross_method_ARI/cluster_6/benchmark_consensus_kmode.txt
3476.59	298.3751	xenium-mouse-brain-SergioSalas	region_main	142991	6	Cross_method_ARI	11	lca	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_6/Cross_method_ARI/cluster_11/benchmark_consensus_lca.txt
377.79	114.5405	xenium-mouse-brain-SergioSalas	region_main	142991	6	Cross_method_ARI	11	kmode	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_6/Cross_method_ARI/cluster_11/benchmark_consensus_kmode.txt
5110.59	361.9681	xenium-mouse-brain-SergioSalas	region_main	142991	8	Cross_method_ARI	11	lca	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_8/Cross_method_ARI/cluster_11/benchmark_consensus_lca.txt
465.66	144.122	xenium-mouse-brain-SergioSalas	region_main	142991	8	Cross_method_ARI	11	kmode	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_8/Cross_method_ARI/cluster_11/benchmark_consensus_kmode.txt
6301.29	351.1393	xenium-mouse-brain-SergioSalas	region_main	142991	10	Cross_method_ARI	11	lca	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_10/Cross_method_ARI/cluster_11/benchmark_consensus_lca.txt
390.47	174.0574	xenium-mouse-brain-SergioSalas	region_main	142991	10	Cross_method_ARI	11	kmode	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_10/Cross_method_ARI/cluster_11/benchmark_consensus_kmode.txt
6598.78	442.037	xenium-mouse-brain-SergioSalas	region_main	142991	12	Cross_method_ARI	11	lca	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_12/Cross_method_ARI/cluster_11/benchmark_consensus_lca.txt
425.62	203.7229	xenium-mouse-brain-SergioSalas	region_main	142991	12	Cross_method_ARI	11	kmode	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_12/Cross_method_ARI/cluster_11/benchmark_consensus_kmode.txt
1901.45	216.6494	xenium-mouse-brain-SergioSalas	region_main	142991	4	Cross_method_ARI	11	lca	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_4/Cross_method_ARI/cluster_11/benchmark_consensus_lca.txt
373.59	133.9807	xenium-mouse-brain-SergioSalas	region_main	142991	4	Cross_method_ARI	11	kmode	../data/xenium-mouse-brain-SergioSalas/region_main/consensus/BC_4/Cross_method_ARI/cluster_11/benchmark_consensus_kmode.txt
466.96	85.9787	.stereoseq_liver_consensus	FN4_D1_batch2	24125	6	Cross_method_ARI	9	lca	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_6/Cross_method_ARI/cluster_9/benchmark_consensus_lca.txt
241.72	20.0417	.stereoseq_liver_consensus	FN4_D1_batch2	24125	6	Cross_method_ARI	9	kmode	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_6/Cross_method_ARI/cluster_9/benchmark_consensus_kmode.txt
569.4	118.0544	.stereoseq_liver_consensus	FN4_D1_batch2	24125	8	Cross_method_ARI	9	lca	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_8/Cross_method_ARI/cluster_9/benchmark_consensus_lca.txt
247.3	34.9825	.stereoseq_liver_consensus	FN4_D1_batch2	24125	8	Cross_method_ARI	9	kmode	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_8/Cross_method_ARI/cluster_9/benchmark_consensus_kmode.txt
703.63	102.1719	.stereoseq_liver_consensus	FN4_D1_batch2	24125	10	Cross_method_ARI	9	lca	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_10/Cross_method_ARI/cluster_9/benchmark_consensus_lca.txt
268.81	27.4838	.stereoseq_liver_consensus	FN4_D1_batch2	24125	10	Cross_method_ARI	9	kmode	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_10/Cross_method_ARI/cluster_9/benchmark_consensus_kmode.txt
617.78	105.2598	.stereoseq_liver_consensus	FN4_D1_batch2	24125	12	Cross_method_ARI	9	lca	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_12/Cross_method_ARI/cluster_9/benchmark_consensus_lca.txt
278.87	48.8418	.stereoseq_liver_consensus	FN4_D1_batch2	24125	12	Cross_method_ARI	9	kmode	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_12/Cross_method_ARI/cluster_9/benchmark_consensus_kmode.txt
375.45	59.881	.stereoseq_liver_consensus	FN4_D1_batch2	24125	4	Cross_method_ARI	9	lca	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_4/Cross_method_ARI/cluster_9/benchmark_consensus_lca.txt
245.67	14.8277	.stereoseq_liver_consensus	FN4_D1_batch2	24125	4	Cross_method_ARI	9	kmode	../data/.stereoseq_liver_consensus/FN4_D1_batch2/consensus/BC_4/Cross_method_ARI/cluster_9/benchmark_consensus_kmode.txt
563.3	41.3001	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	6	Cross_method_ARI	20	lca	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
2235.7	111.9537	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	6	Cross_method_ARI	20	weighted	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
180.02	6.7522	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	6	Cross_method_ARI	20	kmode	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
989.46	110.8661	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	8	Cross_method_ARI	20	lca	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
1705.15	143.0783	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	8	Cross_method_ARI	20	weighted	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
172.91	8.1666	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	8	Cross_method_ARI	20	kmode	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
1147.95	105.4722	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	10	Cross_method_ARI	20	lca	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
1787.98	123.9307	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	10	Cross_method_ARI	20	weighted	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
191.5	9.7473	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	10	Cross_method_ARI	20	kmode	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
1501.52	180.8177	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	12	Cross_method_ARI	20	lca	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
1769.09	263.1307	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	12	Cross_method_ARI	20	weighted	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
196.06	11.2178	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	12	Cross_method_ARI	20	kmode	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
492.0	49.8732	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	4	Cross_method_ARI	20	lca	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
1376.11	132.1426	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	4	Cross_method_ARI	20	weighted	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
168.0	5.3873	visium_breast_cancer_SEDR	visium_breast_cancer_SEDR	3798	4	Cross_method_ARI	20	kmode	../data/visium_breast_cancer_SEDR/visium_breast_cancer_SEDR/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
1041.31	181.7586	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	6	Cross_method_ARI	20	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
9812.99	801.152	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	6	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
197.58	18.0954	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	6	Cross_method_ARI	20	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_6/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
1218.05	157.5276	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	8	Cross_method_ARI	20	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
10142.19	690.1167	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	8	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
217.17	19.3512	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	8	Cross_method_ARI	20	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_8/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
1695.35	194.7677	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	10	Cross_method_ARI	20	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
10159.58	1368.5224	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	10	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
216.97	22.7091	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	10	Cross_method_ARI	20	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_10/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
2342.41	458.4895	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	12	Cross_method_ARI	20	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
11405.52	833.7559	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	12	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
228.98	32.3429	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	12	Cross_method_ARI	20	kmode	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_12/Cross_method_ARI/cluster_20/benchmark_consensus_kmode.txt
533.38	71.673	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	4	Cross_method_ARI	20	lca	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_lca.txt
8314.2	451.239	abc_atlas_wmb_thalamus	C57BL6J-638850_7200	9920	4	Cross_method_ARI	20	weighted	../data/abc_atlas_wmb_thalamus/C57BL6J-638850_7200/consensus/BC_4/Cross_method_ARI/cluster_20/benchmark_consensus_weighted.txt
