	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	STAGATE_config_default_label	SCAN-IT_config_default_label	scanpy_config_default_label	bass_config_default_label	CellCharter_config_default_label
spinalcord_0	1244.00771208226	1334.5501285347	10.1233933161954	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_1	940.963114754098	1395.93852459016	7.327868852459019	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_2	1334.77	618.33	9.37	STARmap_plus	spinalcord	7	2	1	5	1.22357565413896	2	1	0	1	1	1
spinalcord_3	1324.98275862069	1408.18965517241	9.74137931034483	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_4	1189.63865546218	1300.50420168067	7.831932773109241	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_5	1374.70391061453	1272.50837988827	9.79329608938547	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_6	1390.9072847682098	1351.03973509934	10.549668874172198	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_7	2349.4261682243	1072.36635514019	12.297196261682195	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_8	1924.92012779553	576.274760383387	18.9968051118211	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_9	2628.7263681592003	1292.11194029851	14.3134328358209	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_10	2068.61891515994	1078.27538247566	13.0445062586926	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_11	1980.3753056234696	971.541564792176	10.8520782396088	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
spinalcord_12	2440.30362116992	1261.30919220056	13.0696378830084	STARmap_plus	spinalcord	7	2	1	5	1.30059200753451	2	1	0	1	1	4
