	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907103000525	8237.164350577183	-5244.113737289572	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	16	14	1.59921858573918	18	17	4	14	14	6
1019171907102780454	7907.773048490102	-5089.880562229308	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.39214303159018	13	4	2	8	1	10
1019171907101620161	3885.454139425237	-4984.734152932996	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	17	1.50766756168351	5	2	1	9	2	10
1019171907101600132-1	3034.645834883094	-5612.15698677476	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101600130-1	3014.436886170922	-5634.039899441957	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102530522	6585.047957921232	-5602.69906459855	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.32456551357215	5	2	1	4	2	18
1019171907102060015	4332.455180901641	-5718.1467723204205	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.47683165075809	5	2	1	3	2	18
1019171907102570580-1	7805.219535070784	-4433.874378256805	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.59921858573918	13	4	2	8	1	18
1019171907102740084-1	6267.640266795881	-6104.091967969372	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.75325129253028	2	8	10	7	5	18
1019171907102520400	6103.850421817879	-5912.166830031745	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.59921858573918	14	8	11	7	5	3
1019171907102760334	7130.786133287606	-5638.298436775111	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.63772676243696	6	1	0	15	16	18
1019171907101400066	3568.012945473459	-4482.961678811816	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.59921858573918	13	4	2	8	1	18
1019171907102080230	5376.490217990299	-4855.516035138474	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	1	10	7	1.55342838892775	1	11	15	18	17	4
1019171907102520340	6190.354523185516	-5774.125850249566	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.75325129253028	2	8	10	7	5	18
1019171907102070182-1	4977.379548426748	-5331.681591465067	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102070425-1	5097.348500970588	-5389.519041691379	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.68477580492607	9	6	6	1	9	10
1019171907101390122	3419.3925754948896	-4689.117032190207	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.43065120828796	13	4	2	4	1	8
1019171907101390150	3180.8974359382346	-4897.957854863218	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.43065120828796	13	4	2	4	1	8
1019171907102280228-1	4971.097867708647	-6083.111927002935	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	15	3	1.56071040904141	1	3	8	9	0	10
1019171907102300371	5717.06455063208	-5474.195908071729	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	3	7	1.63772676243696	1	3	5	16	3	10
1019171907102530411	6295.707929150324	-5748.336716906295	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.71474311583251	2	8	10	7	5	10
1019171907201590403	3051.772269575876	-5898.257946680887	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101380567	3009.3537360722567	-5277.142986476376	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101370711	2703.502757427096	-5693.685799445339	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102530151	6260.861406826186	-5427.2920414967775	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.71474311583251	14	8	11	7	5	10
1019171907101370733	2832.8021854638523	-5611.461447298613	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907102260394	4210.364467231273	-6919.449093439087	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	8	14	1.79175946922805	8	9	4	14	13	6
1019171907103210162	7990.925601652313	-5920.580310091262	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
1019171907101590250-1	2943.8174578314365	-5841.146798297646	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	7	12	11	1.67623493913473	16	13	14	17	7	13
