	x	y	data	sample	cluster_number	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	SCAN-IT_config_default_label	SpaceFlow_config_default_label	DRSC_config_default_label	SCAN-IT_config_seqFISH_mouse_SScortex_label	stardust_config_default_label
FN4_D1_batch2_180_74	413	-103	stereoseq_liver	FN4_D1_batch2	9	6	1.07898178272538	8	3	1	7	4	7
FN4_D1_batch2_230_144	463	-33	stereoseq_liver	FN4_D1_batch2	9	6	1.5080871769094	7	7	1	2	4	5
FN4_D1_batch2_131_221	364	44	stereoseq_liver	FN4_D1_batch2	9	9	1.42046225404227	5	0	2	6	0	0
FN4_D1_batch2_213_272	446	95	stereoseq_liver	FN4_D1_batch2	9	5	1.44560549417398	1	0	5	6	0	3
FN4_D1_batch2_223_240	456	63	stereoseq_liver	FN4_D1_batch2	9	4	1.60733983630463	9	4	2	6	1	0
FN4_D1_batch2_140_182	373	5	stereoseq_liver	FN4_D1_batch2	9	5	1.52220223234363	1	0	3	1	0	2
FN4_D1_batch2_223_258	456	81	stereoseq_liver	FN4_D1_batch2	9	7	1.6458480130024	9	4	2	3	1	0
FN4_D1_batch2_155_97	388	-80	stereoseq_liver	FN4_D1_batch2	9	3	1.2479687754025	7	3	0	7	2	7
FN4_D1_batch2_183_258	416	81	stereoseq_liver	FN4_D1_batch2	9	7	1.56883165960686	9	1	0	7	1	0
FN4_D1_batch2_234_117	467	-60	stereoseq_liver	FN4_D1_batch2	9	2	1.46957900021162	8	5	8	5	6	4
FN4_D1_batch2_152_138	385	-39	stereoseq_liver	FN4_D1_batch2	9	1	1.4387724588534	7	3	0	3	2	7
FN4_D1_batch2_202_272	435	95	stereoseq_liver	FN4_D1_batch2	9	7	1.6458480130024	9	4	2	3	1	0
FN4_D1_batch2_186_77	419	-100	stereoseq_liver	FN4_D1_batch2	9	6	1.37760836093005	8	7	1	2	4	5
FN4_D1_batch2_238_147	471	-30	stereoseq_liver	FN4_D1_batch2	9	2	1.52262184756953	8	5	6	1	6	1
FN4_D1_batch2_167_275	400	98	stereoseq_liver	FN4_D1_batch2	9	9	1.41695576807962	5	6	5	6	3	0
FN4_D1_batch2_174_92	407	-85	stereoseq_liver	FN4_D1_batch2	9	7	1.32891122998659	7	3	0	3	7	1
FN4_D1_batch2_196_148	429	-29	stereoseq_liver	FN4_D1_batch2	9	1	1.32891122998659	7	3	0	3	7	1
FN4_D1_batch2_192_69	425	-108	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_157_205	390	28	stereoseq_liver	FN4_D1_batch2	9	4	1.43107082351385	3	4	5	6	1	0
FN4_D1_batch2_137_216	370	39	stereoseq_liver	FN4_D1_batch2	9	7	1.59963820096508	9	4	0	3	1	0
FN4_D1_batch2_205_169	438	-8	stereoseq_liver	FN4_D1_batch2	9	8	1.38704719630758	2	2	6	1	5	2
FN4_D1_batch2_155_157	388	-20	stereoseq_liver	FN4_D1_batch2	9	1	1.39298226204197	3	8	0	3	1	1
FN4_D1_batch2_203_210	436	33	stereoseq_liver	FN4_D1_batch2	9	5	1.4922349214372	1	0	4	1	0	2
FN4_D1_batch2_187_146	420	-31	stereoseq_liver	FN4_D1_batch2	9	8	1.43191005396564	2	2	4	1	5	1
FN4_D1_batch2_177_110	410	-67	stereoseq_liver	FN4_D1_batch2	9	8	1.42423778819328	2	2	6	1	5	1
FN4_D1_batch2_144_100	377	-77	stereoseq_liver	FN4_D1_batch2	9	8	1.46957900021162	2	2	3	1	5	1
FN4_D1_batch2_217_168	450	-9	stereoseq_liver	FN4_D1_batch2	9	3	1.56071040904141	4	7	1	7	2	7
FN4_D1_batch2_169_199	402	22	stereoseq_liver	FN4_D1_batch2	9	3	1.49313289102338	3	1	1	2	2	6
FN4_D1_batch2_175_64	408	-113	stereoseq_liver	FN4_D1_batch2	9	2	1.52220223234363	8	5	1	5	6	7
FN4_D1_batch2_161_244	394	67	stereoseq_liver	FN4_D1_batch2	9	5	1.44560549417398	1	0	5	6	0	3
FN4_D1_batch2_218_252	451	75	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
FN4_D1_batch2_173_246	406	69	stereoseq_liver	FN4_D1_batch2	9	5	1.48495290132354	1	0	4	4	0	3
FN4_D1_batch2_211_283	444	106	stereoseq_liver	FN4_D1_batch2	9	5	1.35877388780706	1	6	4	4	0	4
FN4_D1_batch2_199_81	432	-96	stereoseq_liver	FN4_D1_batch2	9	2	1.52220223234363	8	5	7	5	6	7
FN4_D1_batch2_148_74	381	-103	stereoseq_liver	FN4_D1_batch2	9	6	1.39256264681608	7	7	1	7	4	5
FN4_D1_batch2_230_133	463	-44	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_173_208	406	31	stereoseq_liver	FN4_D1_batch2	9	4	1.51578881224895	3	4	2	6	1	0
FN4_D1_batch2_181_149	414	-28	stereoseq_liver	FN4_D1_batch2	9	8	1.43149043873974	3	4	3	1	5	1
FN4_D1_batch2_204_250	437	73	stereoseq_liver	FN4_D1_batch2	9	5	1.48495290132354	1	0	4	4	0	3
FN4_D1_batch2_127_173	360	-4	stereoseq_liver	FN4_D1_batch2	9	5	1.40667770225031	1	0	3	1	1	2
FN4_D1_batch2_117_138	350	-39	stereoseq_liver	FN4_D1_batch2	9	1	1.3514918676934	6	8	8	6	3	1
FN4_D1_batch2_191_286	424	109	stereoseq_liver	FN4_D1_batch2	9	9	1.48453328609765	5	6	2	6	3	0
FN4_D1_batch2_151_139	384	-38	stereoseq_liver	FN4_D1_batch2	9	3	1.3857296114955	7	7	0	7	2	7
FN4_D1_batch2_186_96	419	-81	stereoseq_liver	FN4_D1_batch2	9	8	1.43149043873974	2	5	4	4	5	4
FN4_D1_batch2_206_170	439	-7	stereoseq_liver	FN4_D1_batch2	9	8	1.38704719630758	2	2	6	1	5	2
FN4_D1_batch2_127_105	360	-72	stereoseq_liver	FN4_D1_batch2	9	6	1.4546247143256	4	7	1	7	4	5
FN4_D1_batch2_201_125	434	-52	stereoseq_liver	FN4_D1_batch2	9	6	1.5080871769094	7	7	1	2	4	5
FN4_D1_batch2_167_256	400	79	stereoseq_liver	FN4_D1_batch2	9	4	1.60733983630463	9	4	2	6	1	0
FN4_D1_batch2_229_220	462	43	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_241_185	474	8	stereoseq_liver	FN4_D1_batch2	9	9	1.35489370057009	5	6	8	5	6	8
FN4_D1_batch2_190_149	423	-28	stereoseq_liver	FN4_D1_batch2	9	8	1.42423778819328	2	2	6	1	5	1
FN4_D1_batch2_134_227	367	50	stereoseq_liver	FN4_D1_batch2	9	7	1.56071040904141	5	4	2	3	7	0
FN4_D1_batch2_196_75	429	-102	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_159_234	392	57	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_143_79	376	-98	stereoseq_liver	FN4_D1_batch2	9	8	1.48200005323994	6	5	6	1	3	1
FN4_D1_batch2_171_69	404	-108	stereoseq_liver	FN4_D1_batch2	9	2	1.4546247143256	8	5	7	3	6	7
FN4_D1_batch2_187_157	420	-20	stereoseq_liver	FN4_D1_batch2	9	6	1.39256264681608	3	7	1	2	2	5
FN4_D1_batch2_134_160	367	-17	stereoseq_liver	FN4_D1_batch2	9	5	1.53032348290908	3	0	3	1	0	2
FN4_D1_batch2_188_175	421	-2	stereoseq_liver	FN4_D1_batch2	9	4	1.39298226204197	3	4	2	6	1	2
FN4_D1_batch2_236_205	469	28	stereoseq_liver	FN4_D1_batch2	9	1	1.42083595531659	6	8	0	3	4	0
FN4_D1_batch2_231_171	464	-6	stereoseq_liver	FN4_D1_batch2	9	6	1.54617573838128	4	7	1	2	4	5
FN4_D1_batch2_154_79	387	-98	stereoseq_liver	FN4_D1_batch2	9	6	1.10730100517747	7	3	0	7	4	7
FN4_D1_batch2_234_145	467	-32	stereoseq_liver	FN4_D1_batch2	9	2	1.54659535360717	8	5	2	5	3	1
FN4_D1_batch2_235_269	468	92	stereoseq_liver	FN4_D1_batch2	9	9	1.48453328609765	5	6	2	6	3	0
FN4_D1_batch2_186_229	419	52	stereoseq_liver	FN4_D1_batch2	9	5	1.4070973174762	1	0	3	6	1	3
