"CellCharter_3"	"CellCharter_4"	"CellCharter_5"	"CellCharter_6"	"CellCharter_7"	"CellCharter_8"	"CellCharter_9"	"CellCharter_10"	"SCANIT_3"	"SCANIT_4"	"SCANIT_5"	"SCANIT_6"	"SCANIT_7"	"SCANIT_8"	"SCANIT_9"	"SCANIT_10"	"SEDR_3"	"SEDR_4"	"SEDR_5"	"SEDR_6"	"SEDR_7"	"SEDR_8"	"SEDR_9"	"SEDR_10"	"SpaceFlow_3"	"SpaceFlow_4"	"SpaceFlow_5"	"SpaceFlow_6"	"SpaceFlow_7"	"SpaceFlow_8"	"SpaceFlow_9"	"SpaceFlow_10"	"x"	"y"	"X"	"label"	"label_old"
"DX1_8H_240_189"	1	2	2	2	2	1	1	1	0	3	3	4	6	5	4	6	1	1	1	5	1	1	8	8	1	0	1	0	0	0	1	0	268	10	"DX1_8H_240_189"	"midzonal"	"Layer 6"
"DX1_8H_203_80"	0	0	0	5	0	3	3	3	0	3	3	4	6	7	4	6	1	3	3	3	3	3	3	3	0	1	0	1	4	5	6	8	231	-99	"DX1_8H_203_80"	"pericentral"	"Layer 2"
"DX1_8H_236_234"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	264	55	"DX1_8H_236_234"	"midzonal"	"Layer 5"
"DX1_8H_125_143"	1	3	4	4	6	5	0	8	1	1	2	3	5	1	3	2	1	1	4	5	5	7	8	8	2	3	2	2	2	7	7	5	153	-36	"DX1_8H_125_143"	"midzonal"	"Layer 5"
"DX1_8H_138_149"	1	2	4	4	6	4	0	4	1	1	2	3	0	1	3	2	1	3	1	1	1	1	6	6	0	1	0	1	2	1	5	2	166	-30	"DX1_8H_138_149"	"midzonal"	"Layer 3"
"DX1_8H_117_142"	1	3	4	0	6	4	0	4	1	1	2	3	0	1	3	2	1	1	1	5	5	7	8	8	2	3	2	2	2	7	7	3	145	-37	"DX1_8H_117_142"	"midzonal"	"Layer 5"
"DX1_8H_235_215"	1	3	4	0	1	5	8	5	2	0	0	1	3	4	0	4	1	1	1	5	5	7	8	8	1	0	1	0	0	2	3	0	263	36	"DX1_8H_235_215"	"periportal"	"Layer 8"
"DX1_8H_149_248"	1	2	1	4	6	4	0	4	1	1	4	2	1	6	7	5	1	1	4	4	4	4	8	8	1	3	3	3	2	7	0	3	177	69	"DX1_8H_149_248"	"midzonal"	"Layer 6"
"DX1_8H_139_283"	0	3	3	3	3	7	7	7	0	3	3	4	6	7	4	6	1	3	1	1	1	1	6	6	0	1	0	1	4	1	5	2	167	104	"DX1_8H_139_283"	"midzonal"	"Layer 3"
"DX1_8H_185_134"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	213	-45	"DX1_8H_185_134"	"pericentral"	"Layer 1"
