"ARI"	"cluster_number"	"method"
"CellCharter_3"	0.229952820738272	3	"CellCharter"
"CellCharter_4"	0.307202136385742	4	"CellCharter"
"CellCharter_5"	0.265124955073442	5	"CellCharter"
"CellCharter_6"	0.248821796419728	6	"CellCharter"
"CellCharter_7"	0.181258028574327	7	"CellCharter"
"CellCharter_8"	0.17163823826042	8	"CellCharter"
"CellCharter_9"	0.180556832821361	9	"CellCharter"
"CellCharter_10"	0.164576054744617	10	"CellCharter"
"SCANIT_3"	0.140961221464545	3	"SCANIT"
"SCANIT_4"	0.170554640763982	4	"SCANIT"
"SCANIT_5"	0.149444308748847	5	"SCANIT"
"SCANIT_6"	0.186253365051859	6	"SCANIT"
"SCANIT_7"	0.159877330177665	7	"SCANIT"
"SCANIT_8"	0.167823232854479	8	"SCANIT"
"SCANIT_9"	0.151305566475873	9	"SCANIT"
"SCANIT_10"	0.121195103289326	10	"SCANIT"
"SEDR_3"	0.292838517847771	3	"SEDR"
"SEDR_4"	0.34890836534095	4	"SEDR"
"SEDR_5"	0.415055094510839	5	"SEDR"
"SEDR_6"	0.350303186287817	6	"SEDR"
"SEDR_7"	0.316075927994114	7	"SEDR"
"SEDR_8"	0.315034739785973	8	"SEDR"
"SEDR_9"	0.274624110337799	9	"SEDR"
"SEDR_10"	0.27127436022538	10	"SEDR"
"SpaceFlow_3"	0.263393896188635	3	"SpaceFlow"
"SpaceFlow_4"	0.179776886707212	4	"SpaceFlow"
"SpaceFlow_5"	0.209720613633494	5	"SpaceFlow"
"SpaceFlow_6"	0.227292084407293	6	"SpaceFlow"
"SpaceFlow_7"	0.174125844501228	7	"SpaceFlow"
"SpaceFlow_8"	0.178925425696535	8	"SpaceFlow"
"SpaceFlow_9"	0.177695623076409	9	"SpaceFlow"
"SpaceFlow_10"	0.183575424415631	10	"SpaceFlow"
"X"	0	NA	"X"
"label_old"	0.366144332045858	NA	"labelold"
