"ARI"	"cluster_number"	"method"
"CellCharter_3"	0.262289858175292	3	"CellCharter"
"CellCharter_4"	0.266364066768236	4	"CellCharter"
"CellCharter_5"	0.289874056718855	5	"CellCharter"
"CellCharter_6"	0.219642228375071	6	"CellCharter"
"CellCharter_7"	0.194232417317669	7	"CellCharter"
"CellCharter_8"	0.212113177125934	8	"CellCharter"
"CellCharter_9"	0.222786456433982	9	"CellCharter"
"CellCharter_10"	0.212640928071021	10	"CellCharter"
"SCANIT_3"	0.0736698319348434	3	"SCANIT"
"SCANIT_4"	0.239885564555925	4	"SCANIT"
"SCANIT_5"	0.290516725951328	5	"SCANIT"
"SCANIT_6"	0.276703197575209	6	"SCANIT"
"SCANIT_7"	0.209267355026882	7	"SCANIT"
"SCANIT_8"	0.218427429903889	8	"SCANIT"
"SCANIT_9"	0.206585485868547	9	"SCANIT"
"SCANIT_10"	0.206555123944935	10	"SCANIT"
"SEDR_3"	0.116187170694586	3	"SEDR"
"SEDR_4"	0.182939484202035	4	"SEDR"
"SEDR_5"	0.126006904591039	5	"SEDR"
"SEDR_6"	0.124233866952471	6	"SEDR"
"SEDR_7"	0.140214181827045	7	"SEDR"
"SEDR_8"	0.167893979620432	8	"SEDR"
"SEDR_9"	0.195855407328738	9	"SEDR"
"SEDR_10"	0.181111422437949	10	"SEDR"
"SpaceFlow_3"	0.283362657259088	3	"SpaceFlow"
"SpaceFlow_4"	0.272032331150892	4	"SpaceFlow"
"SpaceFlow_5"	0.266862961846885	5	"SpaceFlow"
"SpaceFlow_6"	0.304780454912207	6	"SpaceFlow"
"SpaceFlow_7"	0.216192634982765	7	"SpaceFlow"
"SpaceFlow_8"	0.219421253770029	8	"SpaceFlow"
"SpaceFlow_9"	0.215642083732857	9	"SpaceFlow"
"SpaceFlow_10"	0.222790124869675	10	"SpaceFlow"
"STAGATE_3"	-0.0329239212833782	3	"STAGATE"
"STAGATE_4"	0.00888574515697952	4	"STAGATE"
"STAGATE_5"	0.138421620623162	5	"STAGATE"
"STAGATE_6"	0.159048075517903	6	"STAGATE"
"STAGATE_7"	0.19274474788779	7	"STAGATE"
"STAGATE_8"	0.202269812018174	8	"STAGATE"
"STAGATE_9"	0.254272642784719	9	"STAGATE"
"STAGATE_10"	0.248333023240518	10	"STAGATE"
