"ARI"	"cluster_number"	"method"
"CellCharter_5"	0.485877171026564	"5"	"CellCharter"
"CellCharter_7"	0.558504278476239	"7"	"CellCharter"
"CellCharter_9"	0.430561878816575	"9"	"CellCharter"
"CellCharter_11"	0.402445902491906	"11"	"CellCharter"
"SCANIT5"	0.512073370803802	"5"	"SCANIT"
"SCANIT7"	0.37524041070346	"7"	"SCANIT"
"SCANIT9"	0.392200473298634	"9"	"SCANIT"
"SCANIT11"	0.336214516672579	"11"	"SCANIT"
"SEDR_5"	0.155359455927206	"5"	"SEDR"
"SEDR_7"	0.268974057008023	"7"	"SEDR"
"SEDR_9"	0.328431245940432	"9"	"SEDR"
"SEDR_11"	0.297026577730094	"11"	"SEDR"
"SpaceFlow5"	0.565002950270323	"5"	"SpaceFlow"
"SpaceFlow7"	0.564616516775859	"7"	"SpaceFlow"
"SpaceFlow9"	0.42211869195457	"9"	"SpaceFlow"
"SpaceFlow11"	0.439636975357045	"11"	"SpaceFlow"
"STAGATE5"	0.484590196457802	"5"	"STAGATE"
"STAGATE7"	0.716789196548168	"7"	"STAGATE"
"STAGATE9"	0.575556337291715	"9"	"STAGATE"
"STAGATE11"	0.566153143563419	"11"	"STAGATE"
