"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617101770686"	"1017092617101770686"	4374.33288321008	-5182.98601835798	"PO"	"PO"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617101770154-1"	"1017092617101770154-1"	4324.32011535963	-4794.04636857445	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617101790793"	"1017092617101790793"	5323.01596372303	-4971.37050520751	"PVT"	"PVT"	11	16	8	13	18	12	2	8	11	3	8	12
"1017092617202510460"	"1017092617202510460"	5509.18293398589	-6426.51432317219	"Xi"	"Xi"	5	11	4	19	2	15	9	11	17	23	22	25
"1017092617101800174-1"	"1017092617101800174-1"	5904.40020138286	-4724.14109219441	"LH"	"LH"	12	14	10	7	5	13	4	8	12	16	20	13
"1017092617101740618"	"1017092617101740618"	3092.0813709316	-5254.6869915918	"RT"	"RT"	15	7	9	9	10	11	17	1	10	28	13	11
"1017092617102540222"	"1017092617102540222"	7037.04138492054	-6130.65821035661	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617102030340-1"	"1017092617102030340-1"	5465.97130977361	-5326.79692079173	"IMD"	"IMD"	16	7	1	15	6	10	16	3	9	14	6	8
"1017092617101980831"	"1017092617101980831"	3160.15689287097	-5940.66081615635	"RT"	"RT"	15	12	9	9	10	11	17	17	10	28	13	11
"1017092617102000042"	"1017092617102000042"	4155.38793668038	-5239.84010662676	"PO"	"PO"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617101840466-1"	"1017092617101840466-1"	7749.50429471295	-4566.07955051729	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102300182-1"	"1017092617102300182-1"	6996.35787357341	-5499.77304897017	"VPM"	"VPM"	2	2	0	18	8	2	19	9	0	26	7	0
"1017092617102040469"	"1017092617102040469"	5787.56995320008	-5376.49671957638	"MD"	"MD"	8	1	1	2	3	4	3	23	2	4	18	2
"1017092617101820452-1"	"1017092617101820452-1"	6941.38759330885	-4725.27277099622	"LP"	"LP"	13	15	12	17	11	7	24	5	6	9	16	21
"1017092617102060348"	"1017092617102060348"	6818.96421531204	-5196.42095006988	"PO"	"PO"	10	8	2	5	17	0	14	2	1	9	26	1
"1017092617102000289-1"	"1017092617102000289-1"	4049.62510798157	-5459.60600981681	"PO"	"PO"	7	12	2	4	8	2	7	9	20	11	25	17
"1017092617102040187"	"1017092617102040187"	5853.31470114221	-5140.42300177754	"MD"	"MD"	16	7	1	15	16	10	16	3	9	14	6	8
