	Method	Data	Technology	ARI
0	BANKSY	STARmap_plus	STARmap+	0.586546
1	BANKSY	abc_atlas_wmb_thalamus	MERFISH	0.42765
2	BANKSY	cosmx_liver	cosmx	0.19102915
3	BANKSY	cosmx_lung	cosmx	0.24296299999999998
4	BANKSY	libd_dlpfc	Visium	0.3923225
5	BANKSY	merfish_devheart	Merfish	0.5797235000000001
6	BANKSY	osmfish_Ssp	osmFISH	0.0328302
7	BANKSY	slideseq2_olfactory_bulb	Slideseq2	0.40108900000000003
8	BANKSY	stereoseq_liver	Stereo-seq	0.11386850000000001
9	BANKSY	stereoseq_mouse_embryo	Stereo-seq	0.351812
10	BANKSY	visium_breast_cancer_SEDR	Visium	0.446539
11	BANKSY	visium_chicken_heart	Visium	0.251147
12	BANKSY	xenium-ffpe-bc-idc	Xenium	0.0947465
13	BANKSY	xenium-mouse-brain-SergioSalas	Xenium	0.418823
14	BayesSpace	libd_dlpfc	Visium	0.47879499999999997
15	BayesSpace	visium_breast_cancer_SEDR	Visium	0.510135
16	BayesSpace	visium_chicken_heart	Visium	0.44309
17	CellCharter	STARmap_plus	STARmap+	0.525049
18	CellCharter	abc_atlas_wmb_thalamus	MERFISH	0.41834
19	CellCharter	cosmx_liver	cosmx	0.22284700000000002
20	CellCharter	cosmx_lung	cosmx	0.21436899999999998
21	CellCharter	libd_dlpfc	Visium	0.43249
22	CellCharter	merfish_devheart	Merfish	0.5211060000000001
23	CellCharter	osmfish_Ssp	osmFISH	0.477721
24	CellCharter	slideseq2_olfactory_bulb	Slideseq2	0.322064
25	CellCharter	stereoseq_liver	Stereo-seq	0.1311165
26	CellCharter	stereoseq_mouse_embryo	Stereo-seq	0.343304
27	CellCharter	visium_breast_cancer_SEDR	Visium	0.507811
28	CellCharter	visium_chicken_heart	Visium	0.40035699999999996
29	CellCharter	visium_hd_cancer_colon	Visium HD	0.307882
30	CellCharter	xenium-ffpe-bc-idc	Xenium	0.17313650000000003
31	CellCharter	xenium-mouse-brain-SergioSalas	Xenium	0.437107
32	DR-SC	STARmap_plus	STARmap+	0.298422
33	DR-SC	abc_atlas_wmb_thalamus	MERFISH	0.41131249999999997
34	DR-SC	cosmx_lung	cosmx	0.173799
35	DR-SC	libd_dlpfc	Visium	0.424577
36	DR-SC	merfish_devheart	Merfish	0.411312
37	DR-SC	slideseq2_olfactory_bulb	Slideseq2	0.294904
38	DR-SC	stereoseq_liver	Stereo-seq	0.2325575
39	DR-SC	stereoseq_mouse_embryo	Stereo-seq	0.375291
40	DR-SC	visium_breast_cancer_SEDR	Visium	0.509267
41	DR-SC	visium_chicken_heart	Visium	0.553949
42	DR-SC	visium_hd_cancer_colon	Visium HD	0.325487
43	DR-SC	xenium-ffpe-bc-idc	Xenium	0.1331735
44	DR-SC	xenium-mouse-brain-SergioSalas	Xenium	0.160782
45	Giotto	STARmap_plus	STARmap+	0.0
46	Giotto	abc_atlas_wmb_thalamus	MERFISH	0.410396
47	Giotto	libd_dlpfc	Visium	0.0
48	Giotto	merfish_devheart	Merfish	0.0
49	Giotto	stereoseq_liver	Stereo-seq	0.15579700000000002
50	Giotto	visium_breast_cancer_SEDR	Visium	0.590932
51	Giotto	visium_hd_cancer_colon	Visium HD	0.0
52	GraphST	libd_dlpfc	Visium	0.514263
53	GraphST	visium_breast_cancer_SEDR	Visium	0.518954
54	GraphST	visium_chicken_heart	Visium	0.466684
55	SCAN-IT	STARmap_plus	STARmap+	0.605667
56	SCAN-IT	abc_atlas_wmb_thalamus	MERFISH	0.40502950000000004
57	SCAN-IT	cosmx_liver	cosmx	0.291428
58	SCAN-IT	cosmx_lung	cosmx	0.22969499999999998
59	SCAN-IT	libd_dlpfc	Visium	0.42672350000000003
60	SCAN-IT	osmfish_Ssp	osmFISH	0.438015
61	SCAN-IT	slideseq2_olfactory_bulb	Slideseq2	0.354806
62	SCAN-IT	stereoseq_liver	Stereo-seq	0.0808062
63	SCAN-IT	visium_breast_cancer_SEDR	Visium	0.49805
64	SCAN-IT	visium_chicken_heart	Visium	0.27552350000000003
65	SCAN-IT	visium_hd_cancer_colon	Visium HD	0.449759
66	SCAN-IT	xenium-mouse-brain-SergioSalas	Xenium	0.405461
67	scMEB	libd_dlpfc	Visium	0.382042
68	scMEB	visium_breast_cancer_SEDR	Visium	0.468681
69	scMEB	visium_chicken_heart	Visium	0.516841
70	scMEB	visium_hd_cancer_colon	Visium HD	0.27199
71	SEDR	STARmap_plus	STARmap+	0.4440275
72	SEDR	abc_atlas_wmb_thalamus	MERFISH	0.39850450000000004
73	SEDR	cosmx_lung	cosmx	0.193699
74	SEDR	libd_dlpfc	Visium	0.512438
75	SEDR	merfish_devheart	Merfish	0.3588485
76	SEDR	slideseq2_olfactory_bulb	Slideseq2	0.38655
77	SEDR	stereoseq_liver	Stereo-seq	0.254971
78	SEDR	stereoseq_mouse_embryo	Stereo-seq	0.25578049999999997
79	SEDR	visium_breast_cancer_SEDR	Visium	0.454791
80	SEDR	visium_chicken_heart	Visium	0.3947265
81	SEDR	visium_hd_cancer_colon	Visium HD	0.226319
82	SEDR	xenium-mouse-brain-SergioSalas	Xenium	0.324439
83	SOTIP	libd_dlpfc	Visium	0.402126
84	STAGATE	STARmap_plus	STARmap+	0.411152
85	STAGATE	abc_atlas_wmb_thalamus	MERFISH	0.3947405
86	STAGATE	cosmx_lung	cosmx	0.2001695
87	STAGATE	libd_dlpfc	Visium	0.4241495
88	STAGATE	merfish_devheart	Merfish	0.464059
89	STAGATE	osmfish_Ssp	osmFISH	0.123865
90	STAGATE	slideseq2_olfactory_bulb	Slideseq2	0.2770725
91	STAGATE	stereoseq_mouse_embryo	Stereo-seq	0.0302528
92	STAGATE	visium_breast_cancer_SEDR	Visium	0.423711
93	STAGATE	visium_chicken_heart	Visium	0.5278995
94	STAGATE	visium_hd_cancer_colon	Visium HD	0.392316
95	STAGATE	xenium-mouse-brain-SergioSalas	Xenium	0.233947
96	SpaceFlow	STARmap_plus	STARmap+	0.633237
97	SpaceFlow	abc_atlas_wmb_thalamus	MERFISH	0.44786400000000004
98	SpaceFlow	cosmx_liver	cosmx	0.150306
99	SpaceFlow	cosmx_lung	cosmx	0.23240149999999998
100	SpaceFlow	libd_dlpfc	Visium	0.3248765
101	SpaceFlow	merfish_devheart	Merfish	0.5135645
102	SpaceFlow	osmfish_Ssp	osmFISH	0.254667
103	SpaceFlow	slideseq2_olfactory_bulb	Slideseq2	0.40415100000000004
104	SpaceFlow	stereoseq_liver	Stereo-seq	0.19564900000000002
105	SpaceFlow	stereoseq_mouse_embryo	Stereo-seq	0.385838
106	SpaceFlow	visium_breast_cancer_SEDR	Visium	0.417785
107	SpaceFlow	visium_chicken_heart	Visium	0.3205285
108	SpaceFlow	visium_hd_cancer_colon	Visium HD	0.40079200000000004
109	SpaceFlow	xenium-ffpe-bc-idc	Xenium	0.12696455
110	SpaceFlow	xenium-mouse-brain-SergioSalas	Xenium	0.449782
111	SPICEMIX	abc_atlas_wmb_thalamus	MERFISH	0.260981
